object_id,title,year,download_url
3,The Honza Dream,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/2/object_id/3/download/1/version/original
5,MXD Zine #1 - True Stories By Mixed Race Writers,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/389/object_id/5/download/1/version/original
11,Gay Famous,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/410/object_id/11/download/1/version/original
13,Butcher Queers #4,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/700/object_id/13/download/1/version/original
15,Queer & Trans Sexual Assault: A Youth Issue,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/439/object_id/15/download/1/version/original
16,queer mutiny not 'gay community'!,2003,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/473/object_id/16/download/1/version/original
17,THERE ARE NO QUEER TEEN SUICIDES,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/32/object_id/17/download/1/version/original
20,"GLOV93
A benefit for Gays and Lesbians Opposing Violence (GLOV)",1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/412/object_id/20/download/1/version/original
22,The Queer Punk Revolution Has Begun,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/474/object_id/22/download/1/version/original
23,PoRcaMaDoNna,1997,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/484/object_id/23/download/1/version/original
29,End the Policies of Genocide,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/35/object_id/29/download/1/version/original
30,So This One Time I Turn Up For A Trick...: Outcall Stories of Regrette Etcetera 2008-10,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/443/object_id/30/download/1/version/original
31,Gendercide #1,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/95/object_id/31/download/1/version/original
32,Gendercide #2,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/96/object_id/32/download/1/version/original
33,Queeruption InfoZine 2004,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/470/object_id/33/download/1/version/original
34,575,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/19/object_id/34/download/1/version/original
35,U.S. Kweer Corps #9,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/293/object_id/35/download/1/version/original
36,U. S. Kweer Corps #10,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/294/object_id/36/download/1/version/original
37,Gender Trouble,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/10/object_id/37/download/1/version/original
38,Queer Zine Explosion #7,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/344/object_id/38/download/1/version/original
39,Interview With A Zombie,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/141/object_id/39/download/1/version/original
40,Gendercide #3,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/12/object_id/40/download/1/version/original
41,A Short Guide To Elliot The Supercat,2008,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/11/object_id/41/download/1/version/original
42,"A Quick Guide to Transgender Healthcare Information In Davis, CA",2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/147/object_id/42/download/1/version/original
43,Testosterone Junky,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/406/object_id/43/download/1/version/original
44,Vibrators 'R Unnatural,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/301/object_id/44/download/1/version/original
45,The Future is Now,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/176/object_id/45/download/1/version/original
46,Crush mini-zine,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/146/object_id/46/download/1/version/original
47,Gendercide #5,2008,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/97/object_id/47/download/1/version/original
48,Map and Visitor's Guide To Things I Found In My Back Pocket,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/101/object_id/48/download/1/version/original
49,I'm Queer.  You're Straight.,1996,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/359/object_id/49/download/1/version/original
50,Sass! #1,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/80/object_id/50/download/1/version/original
51,Negaiva #2,1991,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/239/object_id/51/download/1/version/original
52,Negativa #4,1991,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/238/object_id/52/download/1/version/original
53,Recycled,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/441/object_id/53/download/1/version/original
54,The Transgender Herb Garden,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/34/object_id/54/download/1/version/original
55,Emily Dickenson Was A Fucking Ninja,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/191/object_id/55/download/1/version/original
56,Poly,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/63/object_id/56/download/1/version/original
57,Queers In Space #1,2001,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/79/object_id/57/download/1/version/original
58,Girly #5,1996,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/321/object_id/58/download/1/version/original
59,How We Kiss: privilege on the dance floor,2011,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/360/object_id/59/download/1/version/original
60,Fun Sex Manual #1,2012,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/154/object_id/60/download/1/version/original
61,Our Library Crushes,2012,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/240/object_id/61/download/1/version/original
62,Va te faire Queer un Oeuf #2,2011,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/302/object_id/62/download/1/version/original
63,Va te faire Queer un Oeuf #3,2011,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/485/object_id/63/download/1/version/original
64,Transform the Police that Live Inside of You #1,2012,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/425/object_id/64/download/1/version/original
65,"Young, Homeless, & Vulnerable: The Plight of the Kayayo Girls of Ghana",2012,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/295/object_id/65/download/1/version/original
66,Spice (one off zine),1997,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/421/object_id/66/download/1/version/original
67,Skint 2: King Porn,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/453/object_id/67/download/1/version/original
69,Audio Vaginal Davis Is Coming,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/403/object_id/69/download/1/version/large
73,Queeruption 9 Schedule,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/434/object_id/73/download/1/version/original
74,Anonymous Boy Collection #3,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/38/object_id/74/download/1/version/original
75,Anonymous Boy Collection #4,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/39/object_id/75/download/1/version/original
76,Anonymous Boy Collection #7,1999,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/44/object_id/76/download/1/version/original
77,Anonymous Boy Collection #9,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/43/object_id/77/download/1/version/original
78,Dinosaurs Had Feathers,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/357/object_id/78/download/1/version/original
79,Figment Fragment #3,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/310/object_id/79/download/1/version/original
80,p.o.f. #1,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/393/object_id/80/download/1/version/original
81,Take Heart with Pinkie Raised #1,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/423/object_id/81/download/1/version/original
82,Musings of a Feral Fag,2007,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/388/object_id/82/download/1/version/original
83,The Only Constant is Change,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/463/object_id/83/download/1/version/original
